Task ID,Name,Phase,Epic/Module,Type,Priority,Status,Estimate (days),Dependencies (IDs),Acceptance Criteria,Notes
F0-01,Repo + Next.js App Router bootstrap,Phase 0 - Foundation,Platform,Dev,P0,Todo,0.5,,App corre local; rutas base / y /app; lint + format OK,
F0-02,Tailwind + design tokens setup,Phase 0 - Foundation,UI System,Dev,P0,Todo,0.5,F0-01,"Tokens (colors/spacing/radius) definidos; UI consistente; build sin warnings",
F0-03,Supabase project setup (DB/Auth/Storage),Phase 0 - Foundation,Backend,Dev,P0,Todo,0.5,,Proyecto Supabase creado; env vars configuradas; conexión desde Next OK,
F0-04,Supabase client (server/client) + helpers,Phase 0 - Foundation,Backend,Dev,P0,Todo,0.5,F0-03,"Clientes configurados para Server Components y Client Components; manejo de sesión OK",
F0-05,Auth: Email/Password (sign up/in/out),Phase 0 - Foundation,Auth,Dev,P0,Todo,1,F0-04,"Registro/login/logout funciona; rutas /app protegidas; errores visibles y manejados",
F0-06,Auth: Google OAuth,Phase 0 - Foundation,Auth,Dev,P0,Todo,1,F0-04,"Login Google funciona; callback OK; sesión persistente",
F0-07,DB: schema inicial (tablas core),Phase 0 - Foundation,Database,Dev,P0,Todo,1,F0-03,"Tablas: users_profile, finance_profiles, profile_members, user_preferences, categories creadadas",
F0-08,DB: triggers post-signup + defaults,Phase 0 - Foundation,Database,Dev,P0,Todo,0.5,F0-07,"Al registrarse: users_profile creado; finance_profile default creado; membership owner creada; active_profile_id seteado",
F0-09,RBAC: funciones helper SQL (is_profile_member/can_edit/is_owner),Phase 0 - Foundation,Security,Dev,P0,Todo,0.5,F0-07,"Funciones SQL creadas y testeadas con consultas manuales",
F0-10,RLS: políticas base por profile_id,Phase 0 - Foundation,Security,Dev,P0,Todo,1,F0-09,"RLS activo en tablas; viewer solo lectura; editor/owner mutan; bloqueo cross-profile verificado",
F0-11,Seed: categorías base por perfil,Phase 0 - Foundation,Database,Dev,P1,Todo,0.5,F0-07,"Categorías system income/expense disponibles al crear perfil",
F0-12,App shell: layout + navegación + rutas,Phase 0 - Foundation,UI Shell,Dev,P0,Todo,1,F0-02,"Topbar/sidebar; rutas: Overview/Transactions/Budgets/Pots/Recurring; responsive básico",
F0-13,Profile Switcher UI (lista de perfiles),Phase 0 - Foundation,Multi-profile,Dev,P0,Todo,1,F0-12,"Dropdown con perfiles miembro; muestra activo; UI recarga datos al cambiar",
